n,addr,raw_sample,scaled_sample,sd_out
0,0,0,0,0
1,1,0,0,1
2,2,388,291,1
3,3,775,581,1
4,4,1163,872,0
5,5,1550,1162,0
6,6,1937,1452,0
7,7,2324,1743,1
8,8,2710,2032,1
9,9,3095,2321,1
10,10,3480,2610,0
11,11,3864,2898,0
12,12,4248,3186,0
13,13,4630,3472,1
14,14,5012,3759,1
15,15,5392,4044,1
16,16,5772,4329,0
17,17,6150,4612,0
18,18,6527,4895,1
19,19,6903,5177,1
20,20,7277,5457,1
21,21,7650,5737,0
22,22,8021,6015,0
23,23,8391,6293,0
24,24,8758,6568,1
25,25,9125,6843,1
26,26,9489,7116,1
27,27,9851,7388,1
28,28,10211,7658,0
29,29,10570,7927,0
30,30,10926,8194,1
31,31,11280,8460,1
32,32,11632,8724,1
33,33,11981,8985,1
34,34,12328,9246,0
35,35,12672,9504,0
36,36,13014,9760,0
37,37,13353,10014,1
38,38,13690,10267,1
39,39,14024,10518,1
40,40,14355,10766,1
41,41,14683,11012,1
42,43,15009,11256,0
43,44,15650,11737,0
44,45,15966,11974,1
45,46,16279,12209,1
46,47,16589,12441,1
47,48,16896,12672,1
48,49,17199,12899,0
49,50,17499,13124,0
50,51,17795,13346,1
51,52,18088,13566,1
52,53,18378,13783,1
53,54,18664,13998,1
54,55,18946,14209,1
55,56,19225,14418,0
56,57,19499,14624,0
57,58,19771,14828,1
58,59,20038,15028,1
59,60,20301,15225,1
60,61,20561,15420,1
61,62,20817,15612,1
62,63,21068,15801,0
63,64,21316,15987,0
64,65,21560,16170,1
65,66,21799,16349,1
66,67,22035,16526,1
67,68,22266,16699,1
68,69,22493,16869,1
69,70,22716,17037,1
70,71,22935,17201,0
71,72,23150,17362,0
72,73,23360,17520,1
73,74,23566,17674,1
74,75,23768,17826,1
75,76,23965,17973,1
76,77,24158,18118,1
77,78,24347,18260,1
78,79,24531,18398,1
79,80,24710,18532,0
80,81,24886,18664,0
81,82,25057,18792,1
82,83,25223,18917,1
83,84,25385,19038,1
84,86,25543,19157,1
85,87,25844,19383,1
86,88,25988,19491,1
87,89,26127,19595,1
88,90,26262,19696,0
89,91,26393,19794,0
90,92,26519,19889,1
91,93,26640,19980,1
92,94,26757,20067,1
93,95,26870,20152,1
94,96,26978,20233,1
95,97,27081,20310,1
96,98,27180,20385,1
97,99,27275,20456,1
98,100,27365,20523,1
99,101,27451,20588,0
100,102,27532,20649,0
101,103,27609,20706,1
102,104,27681,20760,1
103,105,27749,20811,1
104,106,27813,20859,1
105,107,27872,20904,1
106,108,27927,20945,1
107,109,27978,20983,1
108,110,28024,21018,1
109,111,28067,21050,1
110,112,28105,21078,0
111,113,28138,21103,0
112,114,28168,21126,1
113,115,28193,21144,1
114,116,28215,21161,1
115,117,28232,21174,1
116,118,28245,21183,1
117,119,28255,21191,1
118,120,28260,21195,1
119,121,28261,21195,1
120,122,28259,21194,1
121,123,28252,21189,0
122,124,28242,21181,0
123,125,28228,21171,1
124,126,28211,21158,1
125,127,28189,21141,1
126,129,28164,21123,1
127,130,28104,21078,1
128,131,28068,21051,1
129,132,28029,21021,1
130,133,27987,20990,1
131,134,27941,20955,1
132,135,27892,20919,0
133,136,27840,20880,0
134,137,27785,20838,1
135,138,27726,20794,1
136,139,27665,20748,1
137,140,27600,20700,1
138,141,27533,20649,1
139,142,27463,20597,1
140,143,27390,20542,1
141,144,27315,20486,1
142,145,27237,20427,1
143,146,27156,20367,0
144,147,27073,20304,0
145,148,26987,20240,1
146,149,26900,20175,1
147,150,26810,20107,1
148,151,26717,20037,1
149,152,26623,19967,1
150,153,26527,19895,1
151,154,26429,19821,1
152,155,26330,19747,1
153,156,26229,19671,0
154,157,26126,19594,0
155,158,26022,19516,1
156,159,25917,19437,1
157,160,25810,19357,1
158,161,25703,19277,1
159,162,25595,19196,1
160,163,25486,19114,1
161,164,25376,19032,1
162,165,25267,18950,1
163,166,25156,18867,0
164,167,25046,18784,0
165,168,24936,18702,1
166,169,24826,18619,1
167,171,24717,18537,1
168,172,24501,18375,1
169,173,24394,18295,1
170,174,24289,18216,1
171,175,24185,18138,1
172,176,24084,18063,0
173,177,23984,17988,0
174,178,23886,17914,1
175,179,23791,17843,1
176,180,23699,17774,1
177,181,23610,17707,1
178,182,23525,17643,1
179,183,23443,17582,1
180,184,23365,17523,1
181,185,23292,17469,0
182,186,23223,17417,0
183,187,23159,17369,1
184,188,23100,17325,1
185,189,23047,17285,1
186,190,22999,17249,1
187,191,22958,17218,1
188,192,22924,17193,1
189,193,22896,17172,1
190,194,22875,17156,0
